TCONST	TITLETYPE	PRIMARYTITLE	ORIGINALTITLE	ISADULT	STARTYEAR	ENDYEAR	RUNTIMEMINUTES	GENRES	AVERAGERATING	NUMVOTES	TITLETYPE_NEW	SHOW_ID	TYPE	TITLE	DIRECTOR	CAST	COUNTRY	DATE_ADDED	RELEASE_YEAR	RATING	DURATION	LISTED_IN	DESCRIPTION
tt0164334	movie	Along Came a Spider	Along Came a Spider	0	2001		104	Drama,Thriller	6.4	72942	Movie	60002273	Movie	Along Came a Spider	Lee Tamahori	Morgan Freeman, Monica Potter, Michael Wincott, Dylan Baker, Mika Boorem, Anton Yelchin, Kim Hawthorne, Jay O. Sanders, Billy Burke, Michael Moriarty, Penelope Ann Miller	United States, Germany, Canada	October 1, 2019	2001	R	103 min	Thrillers	When a girl is kidnapped from a prestigious prep school, a homicide detective takes the case, teaming up with young security agent.
tt0120484	movie	The Waterboy	The Waterboy	0	1998		90	Comedy,Sport	6.1	143770	Movie	17687959	Movie	The Waterboy	Frank Coraci	Adam Sandler, Kathy Bates, Henry Winkler, Fairuza Balk, Jerry Reed, Lawrence Gilliard Jr., Blake Clark, Peter Dante, Jonathan Loughran, Al Whiting	United States	March 8, 2017	1998	PG-13	90 min	Comedies, Sports Movies	A water boy for a college football team has a rage that makes him a tackling machine whose bone-crushing power might vault his team into the playoffs.
tt0118436	tvSeries	Power Rangers Turbo	Power Rangers Turbo	0	1997	1998	30	Action,Adventure,Family	5.7	1864	TV Show	70213074	TV Show	Power Rangers Turbo		Johnny Yong Bosch, Nakia Burrise, Blake Foster, Jason David Frank, Catherine Sutherland, Carol Hoyt, Jason Narvy, Paul Schrier, Gregg Bullock, Hilary Shepard, Tracy Lynn Cruz, Patricia Ja Lee, Roger Velasco, Selwyn Ward, Donene Kistler	United States, France, Japan	January 1, 2016	1997	TV-Y7-FV	1 Season	Kids' TV	The Rangers use high-tech battle cars to take on Queen Divatox and her Divazords, who mount an attack on the Rangers' beloved Angel Grove.
tt0138563	movie	Kurt & Courtney	Kurt & Courtney	0	1998		95	Crime,Documentary,Music	6.1	6780	Movie	1193180	Movie	Kurt & Courtney	Nick Broomfield	Kurt Cobain, Courtney Love	United Kingdom	January 8, 2019	1998	R	95 min	Documentaries, Music & Musicals	This film charts Nirvana's Kurt Cobain's rise to fame, his drug-addled romance with Courtney Love and the conspiracy theories surrounding his death.
tt0243655	movie	Wet Hot American Summer	Wet Hot American Summer	0	2001		97	Comedy,Romance	6.6	52469	Movie	60021299	Movie	Wet Hot American Summer	David Wain	Janeane Garofalo, David Hyde Pierce, Michael Showalter, Marguerite Moreau, Michael Ian Black, Zak Orth, A.D. Miles, Paul Rudd, Christopher Meloni, Molly Shannon, Ken Marino, Joe Lo Truglio, Amy Poehler, Bradley Cooper, Gideon Jacobs, Elizabeth Banks	United States	March 1, 2019	2001	R	98 min	Comedies, Cult Movies, Independent Movies	Everyone wants a final shot at action on the last day at Camp Firewood, in this campy 1980s summer-camp spoof from the creators of "The State."
tt0098237	tvMovie	The Ryan White Story	The Ryan White Story	0	1989		105	Biography,Drama	7.3	713	Movie	70206820	Movie	The Ryan White Story	John Herzfeld	Judith Light, Lukas Haas, Michael Bowen, Nikki Cox, George Dzundza, Valerie Landsburg, Sarah Jessica Parker, Mitchell Ryan	United States	October 1, 2011	1989	TV-PG	94 min	Dramas	After contracting HIV from a tainted blood treatment, teenaged hemophiliac Ryan White is forced to fight for his right to attend public school.
tt0072064	movie	Rajnigandha	Rajnigandha	0	1974		110	Drama,Romance	7.4	515	Movie	81213896	Movie	Rajnigandha	Basu Chatterjee	Vidya Sinha, Amol Palekar, Dinesh Thakur, Ranjita Thakur, Veena Gaud, Manju Maini	India	December 31, 2019	1974	TV-PG	104 min	Comedies, Dramas, Independent Movies	A grad student leaves her boyfriend in Delhi for a job interview in Mumbai, where she reconnects with an old flame for whom she still has feelings.
tt0451833	movie	No Entry	No Entry	0	2005		158	Comedy,Drama,Musical	6.6	10171	Movie	80223230	Movie	No Entry	Anees Bazmee	Anil Kapoor, Salman Khan, Fardeen Khan, Bipasha Basu, Lara Dutta, Esha Deol, Celina Jaitly, Boman Irani	India	March 1, 2018	2005	TV-PG	161 min	Comedies, International Movies	After a prank goes sideways, three buddies find their relationships  – with women and each other – tested in unexpected ways.
tt0398373	movie	The Twins Effect II	Chin gei bin II: Faa dou dai zin	0	2004		106	Action,Adventure,Comedy	4.9	2301	Movie	70025372	Movie	The Twins Effect II	Corey Yuen, Patrick Leung	Donnie Yen, Jaycee Chan, Charlene Choi, Gillian Chung, Wilson Chen Bo-Lin, Tony Leung Ka Fai, Qu Ying, Fan Bingbing, Xie Jing-jing, Daniel Wu, Edison Chen, Jackie Chan	Hong Kong, China	July 21, 2019	2004	TV-14	106 min	Action & Adventure, Comedies, International Movies	An empress rules over a land where men are subservient to women. But a prophecy reveals that a boy will become king and restore the male regime.
tt0086047	movie	On the Wrong Track	Hui mie hao di che	0	1983		88	Action,Drama	6.0	82	Movie	80997865	Movie	On the Wrong Track	Clarence Yiu-leung Fok	Andy Lau, Yim Chau-wah, Wai Yee Chan, Prudence Liew, Poon Wang Ban, Hua Yueh, Wong Kung-miu	Hong Kong	August 2, 2018	1983	TV-14	89 min	Action & Adventure, International Movies	Two rebellious, hot-headed teenage brothers get caught up in gang life, which has dangerous repercussions for their family and friends.
tt0315642	movie	Wazir	Wazir	0	2016		103	Action,Crime,Drama	7.1	16470	Movie	80094096	Movie	Wazir	Bejoy Nambiar	Amitabh Bachchan, Farhan Akhtar, Aditi Rao Hydari, Manav Kaul, Neil Nitin Mukesh, John Abraham	India	August 1, 2019	2016	TV-MA	98 min	Dramas, International Movies, Thrillers	Helping an amputee grandmaster settle the score for his tragic past, a grieving detective unravels a conspiracy more complicated than he imagined.
tt0116778	movie	Kingpin	Kingpin	0	1996		114	Comedy,Sport	6.9	74779	Movie	673843	Movie	Kingpin	Peter Farrelly, Bobby Farrelly	Woody Harrelson, Randy Quaid, Vanessa Angel, Bill Murray, Chris Elliott, William Jordan, Richard Tyson, Lin Shaye	United States	January 1, 2020	1996	PG-13	114 min	Comedies, Cult Movies, Sports Movies	After a bowler loses his hand, his career takes a nosedive. That is, until he uncovers the next big thing: an Amish kid named Ishmael.
